Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,text,Unnamed: 6,text.1,Unnamed: 8,text.2,Unnamed: 10,text.3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,text_Negative,text_Neutral,text_Positive,text.1_Negative,text.1_Neutral,text.1_Positive,text.2_Negative,text.2_Neutral,text.2_Positive,text.3_Negative,text.3_Neutral,text.3_Positive
,StartDate,EndDate,ResponseId,B2A_1,B2_1A,B2L_1,B2_1L,B2I_1,B2_1I,B2S_1,B2_1S,S3,S4,S5,S6a,S6b,Z1,Z2,Z3,Z4,Z5,Z1,0.200043783,0.619687855,0.180268392,0.180909574,0.636114538,0.182975858,0.203353196,0.608322918,0.188323855,0.172963396,0.643940389,0.18309623
0,Start Date,End Date,Response ID,"Based on your experience, how likely are you to recommend them to a friend or colleague?

Large Home Appliances - Godrej",Why did you give this score to Godrej?A,"Based on your experience, how likely are you to recommend them to a friend or colleague?



Locks - Godrej",Why did you give this score to Godrej?L,"Based on your experience, how likely are you to recommend them to a friend or colleague?



Home Furniture, Storage and Kitchen - Godrej",Why did you give this score to Godrej?I,"Based on your experience, how likely are you to recommend them to a friend or colleague?



Security Solutions (Lockers and Home Safes) - Godrej",Why did you give this score to Godrej & Boyce / Godrej?S,Which city do you currently live in?,How old are you?,What is your gender?,"What is the highest education level that you have attained?

[Please choose one appropriate answer]",Which of the following items do you own? Please select all that apply.,"What is your occupation? 
[Please choose one appropriate answer]",What does the following best describe your Average Household income per annum (in INR)?,What is your current marital status?,What are their ages?,How many people are you living with?,"What is your occupation? 
[Please choose one appropriate answer]",0.334544212,0.643939734,0.021516066,0.44976154,0.529373169,0.020865262,0.419264376,0.561645627,0.019089984,0.199431971,0.774599969,0.025968127
1,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID30025_x1""}","{""ImportId"":""QID30071_TEXT""}","{""ImportId"":""QID30068_x1""}","{""ImportId"":""QID30076_TEXT""}","{""ImportId"":""QID30069_x1""}","{""ImportId"":""QID30077_TEXT""}","{""ImportId"":""QID30070_x1""}","{""ImportId"":""QID30078_TEXT""}","{""ImportId"":""QID30003""}","{""ImportId"":""QID30004""}","{""ImportId"":""QID30005""}","{""ImportId"":""QID30006""}","{""ImportId"":""QID30007""}","{""ImportId"":""QID30059""}","{""ImportId"":""QID30060""}","{""ImportId"":""QID30061""}","{""ImportId"":""QID30062""}","{""ImportId"":""QID30063""}","{""ImportId"":""QID30059""}",0.243540123,0.725919127,0.030540703,0.245035827,0.724075735,0.030888498,0.242298573,0.727301836,0.030399546,0.243934721,0.725488424,0.030576801
2,31-08-2022 02:50,31-08-2022 03:02,R_1GKrmqmrhIsV1j2,Not at all likely0,s,,,,,,,Hyderabad,46-50,Male,Literate but no formal school/ School up to 4 years,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Service (Rural or Urban),10-15 Lacs,"Married, no kids ",,No one (living by myself),Service (Rural or Urban),0.224639222,0.521676183,0.25368461,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
3,31-08-2022 03:08,31-08-2022 03:50,R_2PtDeOQ7jSZMkC8,,fthg,Not at all likely0,,Not at all likely0,,,,Kochi,41-45,Female,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Air Conditioner",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,3 people,Business owner or Industrialist with 1-49 employees,0.372984409,0.49806726,0.128948376,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
4,31-08-2022 21:08,31-08-2022 21:12,R_pmac3PtlCLpoOIx,,,,,,,,,Lucknow,36-40,Male,Graduation/ Post Graduation: Professional,"Ceiling Fan,Two-Wheeler,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,20-25 Lacs,"Married, no kids ",,2 people,Business owner or Industrialist with 1-49 employees,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
5,31-08-2022 21:15,31-08-2022 21:32,R_1QtsGGovmx38mZR,,,,,,,,,Ahmedabad,36-40,Male,Graduation/ Post Graduation: Professional,"LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Government official,15-20 Lacs,"Married, no kids ",,No one (living by myself),Government official,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
6,31-08-2022 21:40,31-08-2022 21:45,R_1l47TTWYyoJNW1R,,as,9,,,,,,New Delhi NCR,41-45,Male,Some College (Incl Diploma) but not Grad ,"LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,2 people,Business owner or Industrialist with 1-49 employees,0.248678058,0.521101475,0.230220422,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
7,01-09-2022 04:07,01-09-2022 04:47,R_1mJhQPJjVUyfvHU,7,dfgdfgdfg,,,8,,,,Bangalore,36-40,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Single (includes divorced/ widowed), with kid(s)","10-15 years old,16-20 years old",2 people,Business owner or Industrialist with 1-49 employees,0.438923091,0.488440782,0.07263618,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
8,01-09-2022 04:50,01-09-2022 09:48,R_3Je0gvT2Vv0amwj,,cxvxcv,9,,,,Extremely likely10,,Pune,46-50,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,2 people,Business owner or Industrialist with 1-49 employees,0.22754693,0.574081481,0.198371634,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999
